497|2|80|Cash|2021-7-12|23:3:37|#
830|3|120|Cash|2021-7-12|23:5:14|#
455|2|80|Cash|2021-7-12|23:7:44|#
26|2|80|Cash|2021-7-12|23:10:13|#
385|3|120|Cash|2021-7-12|23:12:10|#
875|2|80|Cash|2021-7-12|23:14:26|#
210|2|80|Cash|2021-7-12|23:15:54|#
406|1|40|Cash|2021-7-12|23:16:39|#
874|2|40|Cash|2021-7-12|23:23:44|#
319|2|80|Cash|2021-7-13|9:39:18|#
401|1|60|Cash|2021-7-13|9:39:40|#
538|2|80|Cash|2021-7-13|9:40:20|#
568|5|350|Cash|2021-7-13|9:40:29|#
855|3|120|UPI|2021-7-13|9:41:57|#
252|3|120|Cash|2021-7-13|9:43:28|#
474|2|80|UPI|2021-7-13|9:44:39|#
123|5|70|Cash|2021-7-13|9:48:47|#
243|2|80|Cash|2021-7-13|9:57:12|#
498|2|80|Cash|2021-7-13|10:35:19|#
733|4|280|Cash|2021-7-13|10:36:27|#
225|2|80|Cash|2021-7-13|10:38:25|#
428|2|80|Cash|2021-7-13|10:39:29|#
875|2|80|Cash|2021-7-13|10:42:52|#
22|2|80|Cash|2021-7-13|10:46:41|#
579|2|80|UPI|2021-7-13|10:54:6|#
502|2|80|Cash|2021-7-13|10:58:14|#
91|1|40|UPI|2021-7-13|11:0:44|#
297|1|50|Cash|2021-7-13|11:2:26|#
712|1|15|UPI|2021-7-13|11:3:57|#
460|2|80|Cash|2021-7-13|11:11:47|#
832|2|80|Cash|2021-7-13|11:13:42|#
7|1|50|Cash|2021-7-13|11:14:8|#
350|3|120|Cash|2021-7-13|11:15:52|#
863|2|80|Cash|2021-7-13|11:18:27|#
191|1|50|Cash|2021-7-13|11:19:37|#
368|3|150|Cash|2021-7-13|11:20:43|#
488|2|80|Cash|2021-7-13|11:21:11|#
580|1|50|Cash|2021-7-13|11:21:35|#
668|2|80|Card|2021-7-13|11:22:2|#
33|2|80|Cash|2021-7-13|11:23:22|#
74|1|50|Cash|2021-7-13|11:33:1|#
306|1|50|Card|2021-7-13|11:34:6|#
398|1|70|Cash|2021-7-13|11:34:39|#
649|1|15|Cash|2021-7-13|11:35:44|#
711|2|100|Cash|2021-7-13|11:36:21|#
528|2|85|Cash|2021-7-13|11:58:12|#
20|5|75|Cash|2021-7-13|12:0:22|#
899|3|45|Cash|2021-7-13|12:4:42|#
204|1|40|Cash|2021-7-13|12:5:40|#
582|1|15|Cash|2021-7-13|12:14:12|#
548|4|60|Cash|2021-7-13|12:18:28|#
835|8|560|UPI|2021-7-13|12:20:0|#
220|1|40|Cash|2021-7-13|12:25:58|#
695|2|80|Cash|2021-7-13|12:33:3|#
99|1|40|Cash|2021-7-13|12:34:30|#
768|2|80|Cash|2021-7-13|12:37:55|#
62|2|80|Cash|2021-7-13|13:6:34|#
838|2|80|Cash|2021-7-13|14:14:48|#
225|2|80|Cash|2021-7-13|14:25:23|#
786|1|15|Cash|2021-7-13|14:28:22|#
871|5|75|UPI|2021-7-13|14:28:47|#
533|2|80|Cash|2021-7-13|14:54:31|#
709|2|80|Cash|2021-7-13|14:55:26|#
899|3|45|Cash|2021-7-13|14:56:25|#
361|2|80|Cash|2021-7-13|14:58:13|#
